id_jugador,Fecha,Rival,Local_Visitante,RvE_pct,nombre,tipo
15,2025-08-10,SANTOS,Visitante,250.0,Efraín Álvarez,Top
15,2025-08-22,XOLOS,Visitante,250.0,Efraín Álvarez,Top
17,2025-08-16,C. JUAREZ,Local,243.4721431222418,Erick Gutiérrez,Bottom
17,2025-07-19,LEON,Visitante,220.41471928284997,Erick Gutiérrez,Bottom
17,2025-08-10,SANTOS,Visitante,124.42232985695307,Erick Gutiérrez,Bottom
17,2025-07-26,SAN LUIS,Local,250.0,Erick Gutiérrez,Top
17,2025-07-31,NEW YORK RB,Visitante,250.0,Erick Gutiérrez,Top
17,2025-08-22,XOLOS,Visitante,250.0,Erick Gutiérrez,Top
5,2025-07-31,NEW YORK RB,Visitante,250.0,Gilberto Sepulveda,Bottom
5,2025-08-10,SANTOS,Visitante,241.2939700048831,Gilberto Sepulveda,Bottom
5,2025-08-03,CHARLOTTE,Visitante,215.0694407014927,Gilberto Sepulveda,Bottom
5,2025-07-31,NEW YORK RB,Visitante,250.0,Gilberto Sepulveda,Top
5,2025-08-07,CINCINNATI,Visitante,250.0,Gilberto Sepulveda,Top
5,2025-08-10,SANTOS,Visitante,241.2939700048831,Gilberto Sepulveda,Top
26,2025-07-19,LEON,Visitante,99.04233264695145,Hugo Camberos,Bottom
26,2025-08-16,C. JUAREZ,Local,43.54046572157469,Hugo Camberos,Bottom
26,2025-07-26,SAN LUIS,Local,16.257319922402722,Hugo Camberos,Bottom
26,2025-08-10,SANTOS,Visitante,170.64214210049963,Hugo Camberos,Top
26,2025-08-07,CINCINNATI,Visitante,147.21157162279718,Hugo Camberos,Top
26,2025-07-19,LEON,Visitante,99.04233264695145,Hugo Camberos,Top
16,2025-08-16,C. JUAREZ,Local,250.0,Isaác Brisuela,Bottom
16,2025-08-22,XOLOS,Visitante,250.0,Isaác Brisuela,Bottom
16,2025-08-16,C. JUAREZ,Local,250.0,Isaác Brisuela,Top
16,2025-08-22,XOLOS,Visitante,250.0,Isaác Brisuela,Top
24,2025-08-16,C. JUAREZ,Local,250.0,Javier Hernández,Bottom
24,2025-08-22,XOLOS,Visitante,250.0,Javier Hernández,Bottom
24,2025-08-16,C. JUAREZ,Local,250.0,Javier Hernández,Top
24,2025-08-22,XOLOS,Visitante,250.0,Javier Hernández,Top
10,2025-07-26,SAN LUIS,Local,250.0,José Castillo,Bottom
10,2025-08-16,C. JUAREZ,Local,175.5406410034469,José Castillo,Bottom
10,2025-07-19,LEON,Visitante,175.0415635028202,José Castillo,Bottom
10,2025-07-26,SAN LUIS,Local,250.0,José Castillo,Top
10,2025-07-31,NEW YORK RB,Visitante,250.0,José Castillo,Top
10,2025-08-03,CHARLOTTE,Visitante,250.0,José Castillo,Top
8,2025-08-22,XOLOS,Visitante,193.1936421845984,Luis Olivas,Bottom
8,2025-08-16,C. JUAREZ,Local,164.85297412884273,Luis Olivas,Bottom
8,2025-08-22,XOLOS,Visitante,193.1936421845984,Luis Olivas,Top
8,2025-08-16,C. JUAREZ,Local,164.85297412884273,Luis Olivas,Top
18,2025-07-19,LEON,Visitante,250.0,Luis Romo,Bottom
18,2025-07-26,SAN LUIS,Local,250.0,Luis Romo,Bottom
18,2025-07-31,NEW YORK RB,Visitante,250.0,Luis Romo,Bottom
18,2025-07-19,LEON,Visitante,250.0,Luis Romo,Top
18,2025-07-26,SAN LUIS,Local,250.0,Luis Romo,Top
18,2025-07-31,NEW YORK RB,Visitante,250.0,Luis Romo,Top
11,2025-08-22,XOLOS,Visitante,30.695682207199525,Miguel Gómez,Bottom
11,2025-08-03,CHARLOTTE,Visitante,18.476550365541335,Miguel Gómez,Bottom
11,2025-08-16,C. JUAREZ,Local,4.506945008271214,Miguel Gómez,Bottom
11,2025-08-07,CINCINNATI,Visitante,72.99768457488572,Miguel Gómez,Top
11,2025-08-22,XOLOS,Visitante,30.695682207199525,Miguel Gómez,Top
11,2025-08-03,CHARLOTTE,Visitante,18.476550365541335,Miguel Gómez,Top
6,2025-08-22,XOLOS,Visitante,182.8393926178775,Miguel Tapias,Bottom
6,2025-08-22,XOLOS,Visitante,182.8393926178775,Miguel Tapias,Top
14,2025-07-19,LEON,Visitante,250.0,Omar Govea,Bottom
14,2025-07-26,SAN LUIS,Local,250.0,Omar Govea,Bottom
14,2025-07-19,LEON,Visitante,250.0,Omar Govea,Top
14,2025-07-26,SAN LUIS,Local,250.0,Omar Govea,Top
13,2025-08-16,C. JUAREZ,Local,23.94192176898172,Raúl Martínez,Bottom
13,2025-08-16,C. JUAREZ,Local,23.94192176898172,Raúl Martínez,Top
1,2025-08-10,SANTOS,Visitante,147.7197281701062,Raúl Rangel,Bottom
1,2025-08-07,CINCINNATI,Visitante,143.78560209642254,Raúl Rangel,Bottom
1,2025-08-03,CHARLOTTE,Visitante,123.16496969316563,Raúl Rangel,Bottom
1,2025-07-31,NEW YORK RB,Visitante,154.86913891074596,Raúl Rangel,Top
1,2025-08-10,SANTOS,Visitante,147.7197281701062,Raúl Rangel,Top
1,2025-08-07,CINCINNATI,Visitante,143.78560209642254,Raúl Rangel,Top
21,2025-07-19,LEON,Visitante,235.46610346727653,Richard Ledezma,Bottom
21,2025-07-26,SAN LUIS,Local,222.2140148720804,Richard Ledezma,Bottom
21,2025-08-22,XOLOS,Visitante,0.0,Richard Ledezma,Bottom
21,2025-07-31,NEW YORK RB,Visitante,250.0,Richard Ledezma,Top
21,2025-08-03,CHARLOTTE,Visitante,250.0,Richard Ledezma,Top
21,2025-08-10,SANTOS,Visitante,250.0,Richard Ledezma,Top
25,2025-07-26,SAN LUIS,Local,200.03998093142928,Roberto Alvarado,Bottom
25,2025-08-16,C. JUAREZ,Local,169.7329189409193,Roberto Alvarado,Bottom
25,2025-08-22,XOLOS,Visitante,117.08445099442197,Roberto Alvarado,Bottom
25,2025-08-10,SANTOS,Visitante,250.0,Roberto Alvarado,Top
25,2025-08-03,CHARLOTTE,Visitante,208.70952987159853,Roberto Alvarado,Top
25,2025-07-31,NEW YORK RB,Visitante,200.98848588629176,Roberto Alvarado,Top
20,2025-08-07,CINCINNATI,Visitante,250.0,Rubén González,Bottom
20,2025-07-31,NEW YORK RB,Visitante,27.49611275995296,Rubén González,Bottom
20,2025-08-07,CINCINNATI,Visitante,250.0,Rubén González,Top
20,2025-07-31,NEW YORK RB,Visitante,27.49611275995296,Rubén González,Top
31,2025-08-10,SANTOS,Visitante,116.5219258847633,Santiago Sandoval,Bottom
31,2025-08-16,C. JUAREZ,Local,21.048405093852665,Santiago Sandoval,Bottom
31,2025-07-19,LEON,Visitante,0.0,Santiago Sandoval,Bottom
31,2025-08-22,XOLOS,Visitante,123.70174828370646,Santiago Sandoval,Top
31,2025-08-10,SANTOS,Visitante,116.5219258847633,Santiago Sandoval,Top
31,2025-08-16,C. JUAREZ,Local,21.048405093852665,Santiago Sandoval,Top
27,2025-08-16,C. JUAREZ,Local,241.08549014559722,Teun Wilke,Bottom
27,2025-08-07,CINCINNATI,Visitante,10.12865297162281,Teun Wilke,Bottom
27,2025-08-16,C. JUAREZ,Local,241.08549014559722,Teun Wilke,Top
27,2025-08-07,CINCINNATI,Visitante,10.12865297162281,Teun Wilke,Top
28,2025-08-07,CINCINNATI,Visitante,250.0,Yael Padilla,Bottom
28,2025-08-03,CHARLOTTE,Visitante,102.62860781260473,Yael Padilla,Bottom
28,2025-08-07,CINCINNATI,Visitante,250.0,Yael Padilla,Top
28,2025-08-03,CHARLOTTE,Visitante,102.62860781260473,Yael Padilla,Top
