Rival,nombre,RvE_pct,n
SANTOS,Raúl Rangel,147.7197281701062,1
SANTOS,Richard Ledezma,250.0,1
SANTOS,Roberto Alvarado,250.0,1
SANTOS,Santiago Sandoval,116.5219258847633,1
XOLOS,Alan Mozo,240.89156202419187,1
XOLOS,Armando González,250.0,1
XOLOS,Bryan González,246.2407619435874,1
XOLOS,Cade Cowell,223.89941616820335,1
XOLOS,Daniel Aguirre,114.61732113673895,1
XOLOS,Diego Campillo,190.27450575496417,1
XOLOS,Efraín Álvarez,250.0,1
XOLOS,Erick Gutiérrez,250.0,1
XOLOS,Isaác Brisuela,250.0,1
XOLOS,Javier Hernández,250.0,1
XOLOS,Luis Olivas,193.1936421845984,1
XOLOS,Luis Romo,250.0,1
XOLOS,Miguel Gómez,30.695682207199525,1
XOLOS,Miguel Tapias,182.8393926178775,1
XOLOS,Richard Ledezma,0.0,1
XOLOS,Roberto Alvarado,117.08445099442197,1
XOLOS,Santiago Sandoval,123.70174828370646,1
