fecha,distancia_total,hsr_abs_m,hmld_m,sprints_distancia_m,acc_3,dec_3,player_load,rpe,carga_explosiva,carga_sostenida,carga_regenerativa,rendimiento_diario,hsr_rel_m,sprints_cantidad,sprints_vel_max_kmh,velocidad_prom_m_min
2025-07-10,1024,0,20,0,5,4,20,4,25.0,24.0,502.0,1970-01-01 00:00:00.000000000,0,0,14.2,22
2025-07-16,9509,688,2081,175,63,82,131,6,1259.6,2107.2,3370.0,1970-01-01 00:00:00.000000100,37,8,29.6,88
2025-07-22,8787,216,1064,66,54,42,121,0,541.2,1088.2,3753.5,1970-01-01 00:00:00.000000062,30,3,29.2,82
2025-06-04,11432,1287,2068,53,48,49,181,8,1835.8999999999999,2104.2,4038.5,1970-01-01 00:00:00.000000100,0,5,27.0,112
2025-06-06,10592,839,1883,65,39,38,175,8,1238.8,1918.0,3935.0,1970-01-01 00:00:00.000000100,23,4,29.3,116
2025-06-08,8174,1425,2018,664,76,37,127,8,2135.5,2043.4,2365.5,1970-01-01 00:00:00.000000092,85,21,27.3,57
2025-06-16,8965,1485,1968,668,63,54,140,7,2171.0,1996.0,2756.0,1970-01-01 00:00:00.000000095,13,13,28.2,74
2025-07-10,1413,0,35,0,10,12,24,0,60.0,39.8,689.0,1970-01-01 00:00:00.000000000,0,0,13.9,31
2025-07-30,10145,257,1607,48,57,69,177,5,671.9,1642.4,4140.5,1970-01-01 00:00:00.000000091,0,4,25.3,85
2025-06-03,3871,645,770,139,20,35,68,0,936.5,783.6,1228.0,1970-01-01 00:00:00.000000063,166,3,27.1,48
2025-06-04,11369,2038,2258,345,58,37,171,8,2732.1,2292.2,3536.5,1970-01-01 00:00:00.000000100,769,4,24.7,110
2025-06-06,11253,1683,2009,155,35,28,172,7,2219.6,2043.4,3780.5,1970-01-01 00:00:00.000000100,357,5,26.4,120
2025-06-08,8283,1459,1847,889,55,11,122,9,2058.3,1871.4,2488.5,1970-01-01 00:00:00.000000098,1129,23,26.7,58
2025-06-13,4842,282,1029,135,19,18,80,7,475.4,1045.0,1765.5,1970-01-01 00:00:00.000000053,151,7,28.9,133
2025-06-16,9102,1572,1824,623,45,46,134,6,2176.3999999999996,1850.8,2853.0,1970-01-01 00:00:00.000000100,859,8,26.2,75
2025-06-17,6540,323,1159,175,33,54,109,7,651.5999999999999,1180.8,2529.0,1970-01-01 00:00:00.000000078,175,6,31.7,81
2025-06-27,7056,332,1205,166,34,33,101,7,622.9,1225.2,2759.5,1970-01-01 00:00:00.000000079,166,8,30.8,117
